id,name,adm1_code,Percent of Residents Participating in Outdoor Recreation,Direct Jobs (Per 100 People),Consumer Spending (Per Capita),Wages Generated (Per Capita),State/Local Tax Revenue Generated (Per Capita)
1,Alabama,USA-3541,55,2.8,2872,800,176
2,Alaska,USA-3563,81,9.7,9868,3109,456
3,Arizona,USA-3520,59,2.9,3022,812,200
4,Arkansas,USA-3528,63,3.2,3229,832,232
5,California,USA-3521,56,1.7,2327,769,157
6,Colorado,USA-3522,71,4.1,4994,1730,357
7,Connecticut,USA-3537,58,1.9,2508,808,205
8,Delaware,USA-3555,52,3.0,3223,997,151
9,Florida,USA-3542,55,2.3,2793,853,167
10,Georgia,USA-3543,58,2.3,2618,777,173
11,Hawaii,USA-3517,59,4.8,5464,1681,423
12,Idaho,USA-3518,79,4.5,4543,1340,260
13,Illinois,USA-3546,56,1.6,2015,609,133
14,Indiana,USA-3547,59,2.1,2355,645,165
15,Iowa,USA-3529,65,2.6,2766,858,206
16,Kansas,USA-3530,61,2.4,2506,618,165
17,Kentucky,USA-3548,61,2.7,2874,808,170
18,Louisiana,USA-3535,57,2.2,2604,726,191
19,Maine,USA-3561,70,5.7,6138,1647,410
20,Maryland,USA-3557,51,1.8,2313,727,157
21,Massachusetts,USA-3513,59,1.7,2362,860,133
22,Michigan,USA-3562,63,2.3,2670,753,211
23,Minnesota,USA-3514,70,2.5,2995,807,251
24,Mississippi,USA-3544,58,2.6,2681,704,208
25,Missouri,USA-3531,61,2.2,2437,752,145
26,Montana,USA-3515,81,6.8,6759,2094,272
27,Nebraska,USA-3532,61,2.6,2604,833,166
28,Nevada,USA-3523,57,2.9,4203,1334,367
29,New Hampshire,USA-3538,69,5.9,6479,1936,393
30,New Jersey,USA-3558,46,1.6,2099,655,133
31,New Mexico,USA-3524,65,4.7,4741,1341,298
32,New York,USA-3559,52,1.6,2106,705,181
33,North Carolina,USA-3549,56,2.5,2725,808,127
34,North Dakota,USA-3516,76,4.0,4104,1123,237
35,Ohio,USA-3550,58,1.8,2084,600,129
36,Oklahoma,USA-3533,64,2.5,2697,789,169
37,Oregon,USA-3525,69,4.2,3959,1231,181
38,Pennsylvania,USA-3560,56,2.0,2272,672,148
39,Rhode Island,USA-3539,55,3.5,3775,1132,277
40,South Carolina,USA-3545,58,3.0,3244,916,219
41,South Dakota,USA-3534,69,5.5,5404,1380,293
42,Tennessee,USA-3551,59,2.8,3216,968,208
43,Texas,USA-3536,55,1.5,1858,558,124
44,Utah,USA-3526,72,3.5,3965,1257,238
45,Vermont,USA-3540,72,8.2,8819,2405,810
46,Virginia,USA-3552,57,2.3,2586,767,142
47,Washington,USA-3519,72,2.7,3538,1026,311
48,West Virginia,USA-3554,67,5.0,4956,1322,363
49,Wisconsin,USA-3553,66,2.9,3089,880,190
50,Wyoming,USA-3527,73,8.6,9667,2762,887
